dt,AverageTemperature
1981-08-01,22.411
1981-09-01,20.093
1981-10-01,16.386
1981-11-01,14.594
1981-12-01,10.633
1982-01-01,9.883
1982-02-01,10.239999999999998
1982-03-01,12.001
1982-04-01,14.368
1982-05-01,16.537
1982-06-01,19.452
1982-07-01,20.696
1982-08-01,22.457
1982-09-01,20.379
1982-10-01,14.828
1982-11-01,11.424
1982-12-01,8.597999999999999
1983-01-01,8.307
1983-02-01,8.241
1983-03-01,13.037
1983-04-01,12.059
1983-05-01,13.953
1983-06-01,20.604
1983-07-01,20.77
1983-08-01,21.349
1983-09-01,21.472
1983-10-01,17.027
1983-11-01,14.353
1983-12-01,9.668
1984-01-01,8.572000000000001
1984-02-01,8.716999999999999
1984-03-01,9.779
1984-04-01,15.505
1984-05-01,12.898
1984-06-01,19.096
1984-07-01,21.884
1984-08-01,21.865
1984-09-01,19.718
1984-10-01,15.523
1984-11-01,11.841
1984-12-01,9.853
1985-01-01,7.074000000000002
1985-02-01,11.201999999999998
1985-03-01,10.559
1985-04-01,13.808
1985-05-01,14.678999999999998
1985-06-01,19.51
1985-07-01,22.301
1985-08-01,21.659
1985-09-01,22.537
1985-10-01,17.534000000000002
1985-11-01,11.445
1985-12-01,9.545
1986-01-01,8.214
1986-02-01,8.991999999999997
1986-03-01,10.875
1986-04-01,10.107
1986-05-01,16.799
1986-06-01,19.597
1986-07-01,23.01
1986-08-01,20.851
1986-09-01,20.495
1986-10-01,17.0
1986-11-01,11.739
1986-12-01,9.081
1987-01-01,8.231
1987-02-01,9.57
1987-03-01,12.717
1987-04-01,14.233
1987-05-01,16.901999999999994
1987-06-01,19.955
1987-07-01,22.526
1987-08-01,23.079
1987-09-01,22.451
1987-10-01,14.523
1987-11-01,12.005
1987-12-01,11.075
1988-01-01,9.779
1988-02-01,9.646999999999998
1988-03-01,12.012
1988-04-01,13.061
1988-05-01,15.438
1988-06-01,18.471
1988-07-01,21.393
1988-08-01,21.893
1988-09-01,21.174
1988-10-01,16.455
1988-11-01,13.259
1988-12-01,8.610999999999999
1989-01-01,8.296000000000001
1989-02-01,10.529000000000002
1989-03-01,12.839
1989-04-01,11.692
1989-05-01,17.756
1989-06-01,20.594
1989-07-01,24.692
1989-08-01,23.072
1989-09-01,20.035
1989-10-01,18.053
1989-11-01,13.098
1989-12-01,12.089
1990-01-01,8.448
1990-02-01,12.185
1990-03-01,13.329
1990-04-01,12.621
1990-05-01,18.009
1990-06-01,19.885
1990-07-01,24.119
1990-08-01,23.668000000000003
1990-09-01,21.289
1990-10-01,15.816999999999998
1990-11-01,11.262
1990-12-01,8.280999999999999
1991-01-01,8.141
1991-02-01,8.259
1991-03-01,11.75
1991-04-01,12.824000000000002
1991-05-01,17.351
1991-06-01,20.308
1991-07-01,23.17
1991-08-01,23.985
1991-09-01,21.352
1991-10-01,14.451
1991-11-01,11.64
1991-12-01,9.563
1992-01-01,7.0200000000000005
1992-02-01,9.766
1992-03-01,12.626
1992-04-01,14.236
1992-05-01,18.113
1992-06-01,17.634
1992-07-01,23.072
1992-08-01,22.635
1992-09-01,19.4
1992-10-01,13.934
1992-11-01,13.013
1992-12-01,9.887
1993-01-01,8.304
1993-02-01,9.906
1993-03-01,11.953
1993-04-01,12.454
1993-05-01,14.993
1993-06-01,19.743
1993-07-01,22.776
1993-08-01,22.172
1993-09-01,17.654999999999994
1993-10-01,13.524
1993-11-01,11.014
1993-12-01,9.748
1994-01-01,8.636000000000001
1994-02-01,9.119
1994-03-01,13.728
1994-04-01,12.909
1994-05-01,15.6
1994-06-01,20.737
1994-07-01,22.071
1994-08-01,22.058000000000003
1994-09-01,18.485
1994-10-01,16.593999999999998
1994-11-01,13.369000000000002
1994-12-01,10.448
1995-01-01,9.68
1995-02-01,11.045
1995-03-01,12.869000000000002
1995-04-01,15.103
1995-05-01,18.264
1995-06-01,20.362
1995-07-01,22.991
1995-08-01,23.597
1995-09-01,18.747
1995-10-01,18.369
1995-11-01,14.175
1995-12-01,10.967
1996-01-01,10.163
1996-02-01,8.635
1996-03-01,11.893
1996-04-01,14.311
1996-05-01,15.925
1996-06-01,21.624
1996-07-01,22.84
1996-08-01,21.245
1996-09-01,18.939
1996-10-01,16.098
1996-11-01,12.068
1996-12-01,9.815
1997-01-01,8.902000000000003
1997-02-01,11.924
1997-03-01,15.703
1997-04-01,16.722
1997-05-01,16.517
1997-06-01,18.049
1997-07-01,22.157
1997-08-01,22.228
1997-09-01,21.427
1997-10-01,18.132
1997-11-01,13.078
1997-12-01,10.372
1998-01-01,9.958
1998-02-01,12.161
1998-03-01,14.0
1998-04-01,12.178
1998-05-01,16.180999999999994
1998-06-01,19.98
1998-07-01,22.686
1998-08-01,23.941
1998-09-01,20.085
1998-10-01,15.755999999999998
1998-11-01,12.486
1998-12-01,8.328
1999-01-01,8.705
1999-02-01,9.232
1999-03-01,12.284
